# Japanese (ja). Plain text — loc/mkloc.py escapes ampersands.
# Terminology: Workflow=ワークフロー, macro=マクロ, node=ノード, trigger=トリガー,
# action=アクション, value=値, transform=変換, port=ポート, armed=有効,
# geofence=ジオフェンス, smart home=スマートホーム, canvas=キャンバス.
# Register: polite です/ます, which is the Japanese app convention.
accessibility_service_label	Ottomatic のボタントリガー
ai_privacy_openai	リクエストは OpenAI のサーバーが応答するため、「AI に質問」ノードは少し時間がかかります。
ai_privacy_openrouter	リクエストは OpenRouter を経由して、選んだモデルを提供するプロバイダーに届くため、「AI に質問」ノードは少し時間がかかります。
ai_privacy_self_hosted	リクエストは上で指定したサーバーにのみ送られます。
ai_model_fast	高速
ai_model_balanced	バランス
ai_model_thorough	詳細
ai_loading_models	モデルを読み込んでいます…
ai_asking_the_model	モデルに問い合わせています…
ai_key_not_stored_securely	この端末ではキーを安全に保存できません。
ai_steps_gemini:0	下のボタンをタップします。ブラウザで Google AI Studio が開きます。
ai_steps_gemini:1	求められたら Google アカウントでログインします。
ai_steps_gemini:2	「Create API key」をタップします。どのプロジェクトを使うか聞かれたら、どれでも構いませんし、新規作成に任せても構いません。
ai_steps_gemini:3	キーをタップしてコピーします。
ai_steps_gemini:4	ここに戻り、キー入力欄の横にある貼り付けボタンをタップします。
ai_steps_anthropic:0	下のボタンをタップします。ブラウザで Anthropic コンソールが開きます。
ai_steps_anthropic:1	ログインします。アカウントがなければ作成してください。
ai_steps_anthropic:2	「Create Key」をタップし、名前を付けて確定します。
ai_steps_anthropic:3	キーをコピーします。表示されるのは一度きりで、二度と表示されません。
ai_steps_anthropic:4	ここに戻り、キー入力欄の横にある貼り付けボタンをタップします。
ai_steps_openai:0	下のボタンをタップします。ブラウザで OpenAI プラットフォームが開きます。
ai_steps_openai:1	ログインします。アカウントがなければ作成してください。
ai_steps_openai:2	「Create new secret key」をタップして確定します。
ai_steps_openai:3	キーをコピーします。表示されるのは一度きりで、二度と表示されません。
ai_steps_openai:4	ここに戻り、キー入力欄の横にある貼り付けボタンをタップします。
ai_steps_openrouter:0	下のボタンをタップします。ブラウザで OpenRouter が開きます。
ai_steps_openrouter:1	ログインします。アカウントがなければ作成してください。
ai_steps_openrouter:2	「Create Key」をタップして確定します。
ai_steps_openrouter:3	キーをコピーし、ここに戻って貼り付けボタンをタップします。
ai_steps_openrouter:4	下でモデル一覧を読み込み、速度設定ごとに使うモデルを選びます。
ai_steps_self_hosted:0	モデルサーバーを起動します。vLLM、Ollama、LM Studio、llama.cpp のいずれも使えます。
ai_steps_self_hosted:1	下にそのアドレスを入力します。http:// または https:// とポート番号も含めてください。
ai_steps_self_hosted:2	API キーが必要なら貼り付けます。ローカルサーバーの多くは任意のキーを受け付けます。
ai_steps_self_hosted:3	モデル一覧を読み込むか、サーバーの起動時に指定したモデル名を入力します。
perm_title_overlay	他のアプリの上に表示
perm_title_notification_listener	通知へのアクセス
perm_title_notification_policy	サイレントモードへのアクセス
perm_title_accessibility_service	ユーザー補助へのアクセス
perm_title_battery_optimisation	電池使用量の制限なし
perm_title_exact_alarm	アラームとリマインダー
perm_title_write_settings	システム設定の変更
perm_title_nfc	NFC
perm_title_foreground_service	フォアグラウンドサービス
perm_title_device_admin	デバイス管理者
perm_title_access_fine_location	位置情報
perm_title_access_coarse_location	おおよその位置情報
perm_title_access_background_location	バックグラウンドでの位置情報
perm_title_receive_sms	SMS の受信
perm_title_send_sms	SMS の送信
perm_title_call_phone	電話の発信
perm_title_read_contacts	連絡先
perm_title_post_notifications	通知
perm_title_bluetooth_connect	Bluetooth
perm_desc_overlay	他のことをしている最中でも、マクロがダイアログを表示したり他のアプリを開いたりできるようにします。これがないと、Android はバックグラウンドのアプリに対してどちらも許可しません。
perm_desc_notification_listener	他のアプリの通知を Ottomatic が見られるようにし、マクロがそれに反応できるようにします。
perm_desc_notification_policy	マクロがサイレントモードのオン・オフを切り替えたり、着信音をサイレントにしたりできるようにします。
perm_desc_accessibility_service	音量ボタンと電源ボタンの押下を Ottomatic が検知できるようにします。画面の内容を読み取ることはありません。
perm_desc_battery_optimisation	Android がバックグラウンドでエンジンを停止するのを防ぎます。これがないと、再起動後にマクロが再び有効にならなかったり、時刻ベースのトリガーが遅れたりすることがあります。
perm_desc_exact_alarm	スケジュールの発火と待機の終了を、指定した分ちょうどに行えるようにします。これがないと Android は他の処理とまとめてよいことになり、遅れて実行される場合があります。
perm_desc_write_settings	マクロが画面の明るさ、画面消灯までの時間、自動回転を変更できるようにします。
perm_desc_nfc	NFC タグを端末の背面にかざしたときにマクロを実行できるようにします。Ottomatic が代わりに NFC をオンにすることはできず、タグは画面がオンでロック解除されている間しか読み取られません。
perm_desc_foreground_service	マクロが有効な間、Ottomatic がエンジンを動かし続けられるようにします。
perm_desc_device_admin	Ottomatic がデバイス管理者の機能を使えるようにします。
perm_desc_access_fine_location	ジオフェンスが、ある場所への到着や離脱を検知できるようにします。
perm_desc_access_coarse_location	正確な位置が得られないときに使われる、おおまかな測位です。
perm_desc_access_background_location	Ottomatic を閉じている間もジオフェンスが動作するようにします。実際に役に立つのはそのときだけです。「常に許可」を選ぶと付与されます。
perm_desc_receive_sms	SMS が届いたときにマクロを実行し、送信者と本文を読み取れるようにします。
perm_desc_send_sms	マクロがあなたに代わって SMS を送信できるようにします。
perm_desc_call_phone	確認なしにマクロが電話を発信できるようにします。
perm_desc_read_contacts	選んだ連絡先の番号をマクロが調べられるようにします。連絡先を選ぶだけなら権限は不要ですが、後で発信するときには必要です。
perm_desc_post_notifications	Ottomatic が通知を表示できるようにします。マクロが出す通知だけでなく、再起動後にエンジンが起動できなかったことを知らせる通知も含みます。
perm_desc_bluetooth_connect	マクロが Bluetooth のオン・オフを切り替えられるようにします。
perm_desc_unknown	あなたのいずれかのマクロのノードが使用しています。
perm_rationale_accessibility_keys	ボタンの押下を検知するために、Ottomatic はユーザー補助へのアクセスを必要とします。画面の内容を読み取ることはありません。スイッチがグレー表示の場合は、先に アプリ情報 → ⋮ → 制限された設定を許可 を開いてください。
perm_rationale_notification_listener	他のアプリの通知を見るために、Ottomatic は通知へのアクセスを必要とします。
perm_rationale_dnd_policy	着信音モードを変更するために、Ottomatic はサイレントモードへのアクセスを必要とします。
perm_rationale_overlay_dialog	端末で他のことをしている最中でもこのダイアログが届くように、Ottomatic は他のアプリの上に表示する権限を必要とします。これがないと、このノードは尋ねる代わりにキャンセルします。
perm_rationale_nfc_radio	このトリガーには NFC がオンになっている必要がありますが、これはシステム全体の設定であり、Ottomatic が自分で付与できるものではありません。またタグは画面がオンでロック解除されている間しか読み取られません。ポケットの中でスリープしている端末にかざしても反応しません。
perm_rationale_alarm_exact	この待機を指定した分ちょうどに終えるために、Ottomatic は正確なアラームを設定する権限を必要とします。これがなくても待機自体は行われますが、Android が起動を他の処理とまとめるため、数分遅れることがあります。
perm_rationale_overlay_launch	端末で他のことをしている最中でも別のアプリを開けるように、Ottomatic は他のアプリの上に表示する権限を必要とします。Android はバックグラウンドのアプリが別のアプリを開くことを禁じており、この権限がないとこのノードは何もせず、その旨をコンソールに出力します。
problem_permission_missing	「%1$s」には%2$sが必要ですが、まだ付与されていません。実行しても何も起きない可能性があります
problem_plugin_permission_missing	「%1$s」には%2$sが必要ですが、%3$s はそれを取得していません。実行しても何も起きない可能性があります
problem_macro_unset	「%1$s」でマクロが選ばれていないため、何も行われません
problem_macro_missing	「%1$s」はすでに存在しないマクロを指しています
problem_hub_unset	「%1$s」で何も選ばれていないため、何も行われません
problem_hub_missing	「%1$s」はすでに設定されていないハブを指しています
problem_ai_unset	「%1$s」で AI 接続が選ばれていないため、何も行われません
problem_ai_missing	「%1$s」はすでに存在しない AI 接続を指しています
problem_ai_unfinished	「%1$s」は設定が完了していない AI 接続を指しています
problem_variable_unset	「%1$s」で変数が選ばれていないため、何も行われません
problem_variable_missing	「%1$s」はすでに存在しない変数を使用しています
problem_empty_loop_body	「%1$s」のループ本体が空のため、繰り返しても何も起きません
problem_unknown_node_type	「%1$s」は不明なノードタイプ（%2$s）のため実行できません
problem_no_trigger	このワークフローにはトリガーがないため、何かがこれを開始することはありません
problem_trigger_not_wired	「%1$s」はどこにも接続されていないため、発火しても何も行われません
problem_exec_wire_dangling	実行ワイヤーが、すでに存在しないノードを指しています
problem_exec_output_unknown	「%2$s」に不明な実行出力ポート「%1$s」があります
problem_exec_input_unknown	「%2$s」に不明な実行入力ポート「%1$s」があります
problem_data_wire_dangling	データワイヤーが、すでに存在しないノードを指しています
problem_data_wire_unknown_type	データワイヤーが不明なノードタイプを経由しています
problem_not_data_output	「%1$s」は「%2$s」のデータ出力ポートではありません
problem_not_data_input	「%1$s」は「%2$s」のデータ入力ポートではありません
problem_schema_mismatch	データエッジのスキーマが一致しません: 入力元 %1$s は出力先 %2$s に代入できません
problem_value_not_connected	「%1$s」はどこにも接続されておらず、読み取られることはありません
problem_nothing_wired_in	「%1$s」には何も接続されていないため、自身の設定だけが使われます
problem_exec_cycle	実行の循環を検出しました: %1$s
problem_data_cycle	データの循環を検出しました: %1$s
problem_not_exec_upstream	「%2$s」が実行される時点で、「%1$s」はまだ実行されていません
problem_fork_branch_cross	「%1$s」と「%2$s」は「%3$s」の相反する分岐にあるため、両者の間で何かを渡すことはできません
category_manual	手動
category_time_schedule	時刻とスケジュール
category_messaging	メッセージ
category_power_battery	電源とバッテリー
category_location	位置情報
category_automation	自動化
category_variables	変数
category_connectivity	接続
category_phone_media	電話とメディア
category_device_state	デバイスの状態
category_sensors	センサーとジェスチャー
category_flow_control	フロー制御
category_interaction	ユーザーに尋ねる
category_network	ネットワーク
category_notifications	通知
category_timing	タイミング
category_device_settings	デバイス設定
category_smart_home	スマートホーム
category_ai	AI
category_data	データ
category_value_power	電源とバッテリー
category_value_connectivity	接続
category_value_device	デバイスの状態
category_value_sensors	センサー
category_value_time	日付と時刻
category_value_variables	変数
category_transform_data	データ
category_plugin	プラグイン
permissions_needed_by	必要とするノード: %1$s
permissions_open_settings	設定を開く
config_field_wired_from	%1$s ← %2$s
cd_palette_collapse_group	%1$s を折りたたむ
cd_palette_expand_group	%1$s を展開
apps_any_app	任意のアプリ
apps_choose_an_app	アプリを選択
apps_no_apps_match_that	一致するアプリはありません。
apps_search	検索
sound_audio_file	音声ファイル
sound_choose_a_sound	サウンドを選択
sound_device_sounds	端末のサウンド
sound_pick_one_of_the_device	端末に入っているサウンド、または端末上の任意の音声ファイルを選んでください。
plugins_back	戻る
plugins_plugins	プラグイン
plugins_this_app_asks_for	このアプリが要求する権限: %1$s
contacts_anyone	すべての相手
contacts_choose_a_contact	連絡先を選択
contacts_clear_the_contact_and_type	連絡先を消して、代わりに番号を入力する
contacts_fill_in_a_contact_s	連絡先の名前を入力
contacts_type_a_number	番号を入力
macro_cancel	キャンセル
macro_edit_macro	マクロを編集
macro_name	名前
macro_save	保存
permissions_allow	許可
permissions_back	戻る
permissions_disable_battery_optimisation	電池の最適化を無効にする
permissions_not_now	後で
permissions_ottomatic_itself	Ottomatic 自体
permissions_permissions	権限
permissions_used_by_your_nodes	ノードが使用する権限
wifi_android_treats_the_name_of	Android はネットワーク名を現在地の手がかりとみなすため、この権限がないと名前を教えてくれません。ここを閉じてネットワーク名を手入力することもできますが、それを照合するにはトリガー側でこの権限が必要です。
wifi_any_network	任意のネットワーク
wifi_choose_a_network	ネットワークを選択
wifi_choose_a_network_in_range	圏内のネットワークを選択
wifi_clear_the_network_so_this	ネットワークを空にして、任意のネットワークに一致させる
wifi_connected	接続済み
wifi_grant	付与
wifi_no_networks_found_wi_fi	ネットワークが見つかりませんでした。スキャンには Wi-Fi と位置情報の両方がオンである必要があり、Android は検索の頻度も制限しています。ネットワーク名を手入力することもできます。
wifi_ottomatic_needs_location_to_list	Wi-Fi ネットワークを一覧表示するには位置情報が必要です
wifi_rescan	再スキャン
widget_choose_a_trigger	トリガーを選択
widget_engine_status	エンジンの状態
widget_last_run	最後の実行
widget_macro_not_found	マクロが見つかりません
widget_make_this_taller_to_see	高さを広げるとトリガーが表示されます
widget_no_manual_triggers_yet_n	手動トリガーはまだありません。\n\nマクロを開いて「手動トリガー」ノードをキャンバスに置くと、ここに表示されます。
widget_no_manual_triggers_yet_nadd	手動トリガーはまだありません。\nマクロに「手動トリガー」ノードを追加してください。
widget_nothing_to_show_nlong_press	表示するものがありません。\n長押しすると、このパネルに何を表示するか選べます。
widget_ottomatic_panel	Ottomatic パネル
widget_problems	問題
widget_save	保存
widget_show_all_of_them	すべて表示
widget_trigger_buttons	トリガーボタン
api_allow	許可
api_app_access	アプリのアクセス
api_back	戻る
api_copy_the_key	キーをコピー
api_it_will_be_able_to	「他のアプリから呼び出し」トリガーを付けたマクロの名前を見ることができ、それらを実行できるようになります。Ottomatic 内のそれ以外のものを見たり変更したりすることはできず、そのトリガーがないマクロには手が届きません。
api_no_key_approved_apps_only	キーなし — 承認済みアプリのみ
api_not_now	後で
api_ottomatic_key	Ottomatic キー
api_remove_the_key	キーを削除
api_revoke	取り消す
api_you_can_withdraw_this_at	この許可は Ottomatic の「アプリのアクセス」からいつでも取り消せます。
variables_back	戻る
variables_belongs_to	所属
variables_choose_a_variable	変数を選択
variables_chosen_once_a_variable_cannot	一度選ぶと変更できません。変数を指しているノードがどちらの集合に属するかを記録するため、後から移すことはできません。
variables_constant	定数
variables_delete_variable	変数を削除
variables_global	グローバル
variables_global_variables	グローバル変数
variables_its_value_is_fixed_here	値はここで固定されます。書き込もうとしたノードはその旨を伝えて処理を続けます。
variables_new_variable	新しい変数
variables_save	保存
variables_this_workflow	このワークフロー
geofence_back	戻る
geofence_centre_on_my_location	現在地を中心にする
geofence_choose_a_place	場所を選択
geofence_clear_search	検索をクリア
geofence_delete_place	場所を削除
geofence_geofences	ジオフェンス
geofence_home_work_gym	自宅、職場、ジム…
geofence_name	名前
geofence_new_place	新しい場所
geofence_no_places_yet_create_one	場所はまだありません。作成すると、ジオフェンストリガーから参照できます。編集すると、それを使っているすべてのトリガーが一緒に移動します。
geofence_radius	半径
geofence_save	保存
geofence_search_an_address_or_place	住所または場所を検索
nfc_a_link_makes_the_tag	リンクにすると、タグにかざしたときにブラウザで開くようになります。すると、このタグを監視しているマクロは動かなくなります。Ottomatic がタグを見るより先に、Android がそのリンクを主張するアプリへタグを渡してしまうためです。テキストならこうはなりません。
nfc_already_in_your_library	すでにライブラリにあります。
nfc_any_tag	任意のタグ
nfc_back	戻る
nfc_choose_a_tag	タグを選択
nfc_delete_tag	タグを削除
nfc_desk_car_dock_nightstand	デスク、車載ホルダー、ナイトテーブル…
nfc_hold_the_tag_to_the	タグを端末の背面にかざしてください
nfc_hold_the_tag_to_the_2	タグを端末の背面にかざし、動かさないでください。
nfc_name	名前
nfc_nfc_is_switched_off	NFC がオフになっています
nfc_nfc_tags	NFC タグ
nfc_no_tags_yet_scan_one	タグはまだありません。スキャンするとトリガーから参照できます。タグの ID は生涯変わらないため、書き込む必要はありません。
nfc_open_settings	設定を開く
nfc_save	保存
nfc_scan_a_new_tag	新しいタグをスキャン
nfc_the_nfc_antenna_is_usually	NFC アンテナはたいてい背面の上寄りにあります。
nfc_this_phone_has_no_nfc	この端末には NFC がありません
nfc_this_tag_reports_a_different	このタグはかざすたびに異なる ID を返すため、マクロが識別することはできません。銀行カード、交通系カード、カードを模した端末はいずれもこの挙動です。普通の NFC シールをお使いください。
nfc_write	書き込む
nfc_write_data_to_this_tag	このタグにデータを書き込む
nfc_write_to_tag	タグに書き込む
mail_add_an_account	アカウントを追加
mail_back	戻る
mail_choose_a_folder	フォルダーを選択
mail_choose_an_account	アカウントを選択
mail_delete_account	アカウントを削除
mail_email_address	メールアドレス
mail_inbox	INBOX
mail_incoming_imap	受信 (IMAP)
mail_mail_accounts	メールアカウント
mail_name	名前
mail_no_accounts_yet_add_one	アカウントはまだありません。追加すると、マクロからメールを送ったり、メール受信をきっかけにマクロを開始したりできます。多くのプロバイダーでは通常のパスワードではなくアプリパスワードが必要です。作成場所はフォームに記載されています。
mail_open_the_app_password_page	アプリパスワードのページを開く
mail_outgoing_smtp	送信 (SMTP)
mail_port	ポート
mail_provider	プロバイダー
mail_save	保存
mail_security	セキュリティ
mail_servers	サーバー
mail_test_connection	接続をテスト
mail_this_account_s_password_could	このアカウントのパスワードを読み取れませんでした。バックアップや別の端末から来たもので、それを封じたキーの方は移っていない可能性が高いです。もう一度入力すると直ります。
mail_this_provider_cannot_be_added	このプロバイダーは追加できません
mail_unchanged	変更なし
mail_username_only_if_it_differs	ユーザー名（アドレスと異なる場合のみ）
mail_work_personal_alarm_system	仕事、プライベート、警報システム…
workflowlist_add_to_home_screen	ホーム画面に追加
workflowlist_add_workflow	ワークフローを追加
workflowlist_app_access	アプリのアクセス
workflowlist_can_t_add_it_from	ここからは追加できません
workflowlist_cancel	キャンセル
workflowlist_choose_a_macro	マクロを選択
workflowlist_delete	削除
workflowlist_delete_workflow	ワークフローを削除
workflowlist_edit	編集
workflowlist_geofences	ジオフェンス
workflowlist_global_variables	グローバル変数
workflowlist_libraries	ライブラリ
workflowlist_mail_accounts	メールアカウント
workflowlist_more	その他
workflowlist_nfc_tags	NFC タグ
workflowlist_no_other_macros_yet	他のマクロはまだありません。
workflowlist_no_workflows_yet_ntap_to	ワークフローはまだありません。\n+ をタップして作成してください。
workflowlist_permissions	権限
workflowlist_plugins	プラグイン
workflowlist_smart_home	スマートホーム
workflowlist_which_trigger	どのトリガーですか？
workflowlist_workflows	ワークフロー
ai_add_connection	接続を追加
ai_ai_connections	AI 接続
ai_answer_briefly_and_in_plain	簡潔に、わかりやすい言葉で答えてください。
ai_back	戻る
ai_choose_a_connection	接続を選択
ai_delete	削除
ai_edit	編集
ai_list_models	モデルを一覧表示
ai_models	モデル
ai_name	名前
ai_no_connections_yet_add_one	接続はまだありません。追加すると「AI に質問」ノードを使えます。必要なのは Google AI Studio の無料 API キーだけで、取得手順はフォームが案内し、ページも開いてくれます。
ai_paste_key	キーを貼り付け
ai_provider	プロバイダー
ai_save	保存
ai_save_the_connection_first_then	先に接続を保存してから、「テスト」でキーが使えるか確認してください。
ai_sent_ahead_of_every_prompt	この接続を通るすべてのリクエストの前に送られます。「AI に質問」ノード自身の常設指示は、これを置き換えるのではなく後ろに追加されます。
ai_server_address	サーバーアドレス
ai_standing_instruction_optional	常設指示（任意）
ai_test	テスト
ai_the_key_is_stored_encrypted	キーはこの端末に暗号化して保存され、二度と表示されません。%1$s マクロが「AI に質問」ノードに到達しない限り、何も送信されません。
ai_this_address_is_unencrypted_that	このアドレスは暗号化されていません。自分のネットワーク内のサーバーであれば普通のことですが、インターネットを越える用途には使わないでください。キーが平文で送られてしまいます。
smarthome_a_bridge_on_your_wi	Wi-Fi 上のブリッジ
smarthome_add_a_hub	ハブを追加
smarthome_back	戻る
smarthome_connect	接続
smarthome_done	完了
smarthome_it_is_the_large_button	円盤の中央、3 つの小さなライトの間にある大きなボタンです。%1$s に接続しています。
smarthome_looking_for_bridges_on_your	Wi-Fi 上のブリッジを探しています…
smarthome_name	名前
smarthome_no_hubs_yet_add_one	ハブはまだありません。追加すると、マクロから照明を操作できます。すぐそばにいることを示すため、ブリッジのボタンを一度押す必要があります。
smarthome_nothing_matches	「%1$s」に一致するものはありません。
smarthome_only_trust_it_if_you	ブリッジをリセットまたは交換した場合にのみ信頼してください。心当たりがなければ、ネットワーク上の別のものがブリッジになりすましています。
smarthome_or_type_the_bridge_s	またはブリッジのアドレスを入力
smarthome_paired_this_is_the_name	ペアリングしました。マクロにはこの名前が表示されます。
smarthome_philips_hue	Philips Hue
smarthome_press_the_round_button_on	ブリッジ上面の丸いボタンを押してください。
smarthome_refresh_lights_and_scenes	  照明とシーンを更新
smarthome_remove_hub	ハブを削除
smarthome_save	保存
smarthome_search	検索
smarthome_smart_home	スマートホーム
smarthome_this_address_is_presenting_a	このアドレスは別の証明書を提示しています
smarthome_trust_new_certificate	新しい証明書を信頼する
smarthome_what_are_you_connecting_to	何に接続しますか？
grapheditor_add_node	ノードを追加
grapheditor_any_tag	任意のタグ
grapheditor_back	戻る
grapheditor_cancel	キャンセル
grapheditor_clear_console	コンソールをクリア
grapheditor_clear_search	検索をクリア
grapheditor_clear_selection	選択を解除
grapheditor_close	閉じる
grapheditor_configure	設定
grapheditor_configure_node	ノードを設定
grapheditor_delete	削除
grapheditor_delete_selection	選択項目を削除
grapheditor_delete_workflow	ワークフローを削除
grapheditor_edit	編集…
grapheditor_editor_surface	エディター領域
grapheditor_enabled	有効
grapheditor_fit_to_screen	画面に合わせる
grapheditor_grant	付与
grapheditor_hh_mm	HH:mm
grapheditor_name	名前
grapheditor_next	次へ
grapheditor_no_problems	問題はありません
grapheditor_nothing_selected_u2014_this_trigger	何も選択されていません。このトリガーは進入時の発火にフォールバックします。
grapheditor_permission_needed	権限が必要です
grapheditor_pick_a_date_and_time	日付と時刻を選択
grapheditor_pick_a_time	時刻を選択
grapheditor_remove_port	ポートを削除
grapheditor_run_workflow	ワークフローを実行
grapheditor_search_nodes	ノードを検索
grapheditor_show_all	すべて表示
grapheditor_stop_workflow	ワークフローを停止
grapheditor_tap_to_add_your_first	+ をタップして最初のノードを追加
grapheditor_this_node_needs_contacts_access	選んだ番号を調べるために、このノードは連絡先へのアクセスを必要とします。これがないと、実行しても何も行われません。
grapheditor_this_workflow_is_ready_to	このワークフローは実行できる状態です。
grapheditor_type	種類
grapheditor_variables_are_unavailable_here	ここでは変数を使用できません。
grapheditor_workflow_actions	ワークフローの操作
grapheditor_your_canvas_is_empty	キャンバスは空です
grapheditor_zoom_in	拡大
grapheditor_zoom_out	縮小
ai_add_ai_connection	AI 接続を追加
ai_api_key	API キー
ai_api_key_paste_it_in	API キー — もう一度貼り付けてください
ai_edit_connection	接続を編集
ai_key_needs_pasting_in_again	キーを貼り付け直す必要があります
ai_leave_these_empty_to_use	プロバイダー標準のモデルを使う場合は空のままにします。モデルが提供終了になったときや、特定のモデルに固定したいときに入力してください。
ai_name_the_model_your_server	サーバーまたはアカウントが提供するモデル名を指定します。「高速」だけを入力した場合、他の 2 つもそれを使います。
ai_new_api_key_leave_empty	新しい API キー（空のままにすると現在のキーを保持）
ai_provider_s_default	プロバイダー標準
api_no_macro_can_currently_be	現在、外部から呼び出せるマクロはありません。
api_no_other_app_can_run	他のアプリがあなたのマクロを実行することはできません。要求があったときは、どのアプリかが示され、その場で判断できます。許可した内容はここに表示され、いつでも取り消せます。
api_these_apps_can_see_and	これらのアプリは、「他のアプリから呼び出し」トリガーを付けたマクロを見て実行できます。Ottomatic 内のそれ以外のものを見たり変更したりすることはできません。ここに載っているのは、要求があったときにあなたが許可したからです。
apps_other_apps	その他のアプリ
geofence_edit_place	場所を編集
geofence_new_place_2	新しい場所
grapheditor_add_node_2	ノードを追加
grapheditor_no_nodes_can_connect_here	ここに接続できるノードはありません
grapheditor_no_nodes_match_your_search	検索に一致するノードはありません
grapheditor_no_place_selected	場所が選択されていません
grapheditor_place_missing	場所がありません
grapheditor_variables	変数
hue_find_your_bridge	ブリッジを見つける
hue_hue_bridge	Hue ブリッジ
hue_name_your_bridge	ブリッジに名前を付ける
hue_press_the_link_button	リンクボタンを押す
hue_text	 ·
macro_colour	色
macro_icon	アイコン
mail_password_needed	パスワードが必要です
nfc_ottomatic_cannot_switch_it_on	Ottomatic が代わりにオンにすることはできません。Android は自身の設定からのみ許可しています。
nfc_rename_tag	タグの名前を変更
nfc_scan_a_tag	タグをスキャン
nfc_there_is_nothing_to_scan	スキャンできる手段がありません。ここではタグトリガーが発火することはありません。
permissions_ottomatic_couldn_t_resume_your	前回の再起動後、Ottomatic はバックグラウンドでマクロを再開できませんでした。手を加えなくても自動化が動き続けるように、Ottomatic を電池の制限なしで実行できるようにしてください。この設定は後から「権限」で変更できます。
plugins_a_plugin_adds_trigger_and	プラグインは、トリガーノードとアクションノードをパレットに追加します。プラグインは別個のアプリで、自身のプロセスで自身のコードを実行し、自分自身のために要求した権限だけを使います。Ottomatic が自身の権限を共有することはありません。
plugins_no_plugins_are_installed_a	プラグインはインストールされていません。プラグインは、トリガーノードとアクションノードをパレットに追加する別個のアプリです。インストールするとここに表示されます。
plugins_provides_no_nodes	提供するノードはありません
smarthome_address	アドレス
smarthome_bridge_id	ブリッジ ID
smarthome_hub	ハブ
smarthome_lights	照明
smarthome_pair_again	もう一度ペアリング
smarthome_presented	提示された証明書
smarthome_refresh	更新
smarthome_rooms_and_zones	部屋とゾーン
smarthome_scenes	シーン
smarthome_trusted	信頼済み
sound_default_ringtone	既定の着信音
variables_holds	保持する型
variables_name	名前
variables_note_optional	メモ（任意）
variables_starts_at	初期値
variables_value	値
widget_a_count_of_macros_that	実行できないマクロの数。ゼロのときは表示されません
widget_a_grid_of_manual_triggers	タップして実行できる手動トリガーのグリッド
widget_new_macros_appear_on_the	新しいマクロは自動的にパネルに表示されます
widget_show	表示
