app_name	Ottomatic
perm_desc_read_contacts	Lets a macro look up the number of a contact you chose. Choosing one needs nothing; dialling it later does.
perm_desc_post_notifications	Lets Ottomatic show a notification — both the ones a macro posts and the one that tells you the engine failed to start after a reboot.
perm_desc_bluetooth_connect	Lets a macro turn Bluetooth on and off.
perm_desc_unknown	Used by a node on one of your macros.
perm_rationale_accessibility_keys	Ottomatic needs accessibility access to see button presses. It never reads screen content. If the switch is greyed out, open App info → ⋮ → Allow restricted settings first.
perm_rationale_notification_listener	Ottomatic needs notification access to see notifications from other apps.
perm_rationale_dnd_policy	Ottomatic needs Do Not Disturb access to change your ringer mode.
perm_rationale_overlay_dialog	Ottomatic needs permission to draw over other apps so this dialog can reach you while you are somewhere else on your phone. Without it the node cancels instead of asking.
perm_rationale_nfc_radio	This trigger needs NFC switched on, which is a system-wide setting rather than something Ottomatic can grant itself. Tags are also only read while the screen is on and unlocked — a tap will not reach a phone asleep in your pocket.
perm_rationale_alarm_exact	Ottomatic needs permission to set exact alarms so this wait ends at the minute you asked for. Without it the wait still happens, but Android batches the wake-up with other work and it can be minutes late.
perm_rationale_overlay_launch	Ottomatic needs permission to draw over other apps so it can open one while you are somewhere else on your phone. Android blocks a background app from opening another, and without this the node does nothing and says so in the console.
problem_permission_missing	\'%1$s\' needs %2$s, which has not been granted — it may do nothing when it runs
problem_plugin_permission_missing	\'%1$s\' needs %2$s, which %3$s has not been granted — it may do nothing when it runs
problem_macro_unset	\'%1$s\' has no macro chosen, so it will do nothing
problem_macro_missing	\'%1$s\' points at a macro that no longer exists
problem_hub_unset	\'%1$s\' has nothing chosen, so it will do nothing
problem_hub_missing	\'%1$s\' points at a hub that is no longer set up
problem_ai_unset	\'%1$s\' has no AI connection chosen, so it will do nothing
problem_ai_missing	\'%1$s\' points at an AI connection that no longer exists
problem_ai_unfinished	\'%1$s\' points at an AI connection that is not finished being set up
problem_variable_unset	\'%1$s\' has no variable chosen, so it will do nothing
problem_variable_missing	\'%1$s\' uses a variable that no longer exists
problem_empty_loop_body	\'%1$s\' has nothing in its loop body, so repeating does nothing
problem_unknown_node_type	\'%1$s\' is an unknown node type (%2$s) and cannot run
problem_no_trigger	This workflow has no trigger, so nothing will ever start it
problem_trigger_not_wired	\'%1$s\' is not wired to anything, so it will fire and do nothing
problem_exec_wire_dangling	An execution wire points at a node that is not here any more
problem_exec_output_unknown	Unknown exec output port \'%1$s\' on \'%2$s\'
problem_exec_input_unknown	Unknown exec input port \'%1$s\' on \'%2$s\'
problem_data_wire_dangling	A data wire points at a node that is not here any more
problem_data_wire_unknown_type	A data wire runs through an unknown node type
problem_not_data_output	\'%1$s\' is not a data output port on \'%2$s\'
problem_not_data_input	\'%1$s\' is not a data input port on \'%2$s\'
problem_schema_mismatch	Schema mismatch on data edge: source %1$s not assignable to target %2$s
problem_value_not_connected	\'%1$s\' is not connected to anything and will never be read
problem_nothing_wired_in	\'%1$s\' has nothing wired into it and will only use its own settings
problem_exec_cycle	Execution cycle detected: %1$s
problem_data_cycle	Data cycle detected: %1$s
problem_not_exec_upstream	\'%1$s\' will not have run when \'%2$s\' executes
problem_fork_branch_cross	\'%1$s\' and \'%2$s\' are on opposite branches of \'%3$s\', so nothing can be passed between them
category_manual	Manual
category_time_schedule	Time &amp; Schedule
category_messaging	Messaging
category_power_battery	Power &amp; Battery
category_location	Location
category_automation	Automation
category_variables	Variables
category_connectivity	Connectivity
category_phone_media	Phone &amp; Media
category_device_state	Device State
category_sensors	Sensors &amp; Gestures
category_flow_control	Flow Control
category_interaction	Ask the User
category_network	Network
category_notifications	Notifications
category_timing	Timing
category_device_settings	Device Settings
category_smart_home	Smart Home
category_ai	AI
category_data	Data
category_value_power	Power &amp; Battery
category_value_connectivity	Connectivity
category_value_device	Device State
category_value_sensors	Sensors
category_value_time	Date &amp; Time
category_value_variables	Variables
category_transform_data	Data
category_plugin	Plugin
permissions_needed_by	Needed by: %1$s
permissions_open_settings	Open settings
config_field_wired_from	%1$s ← %2$s
cd_palette_collapse_group	Collapse %1$s
cd_palette_expand_group	Expand %1$s
apps_any_app	Any app
apps_choose_an_app	Choose an app
apps_no_apps_match_that	No apps match that.
apps_search	Search
sound_audio_file	Audio file
sound_choose_a_sound	Choose a sound
sound_device_sounds	Device sounds
sound_pick_one_of_the_device	Pick one of the device\'s own sounds, or any audio file on the phone.
plugins_back	Back
plugins_plugins	Plugins
plugins_this_app_asks_for	This app asks for: %1$s
contacts_anyone	Anyone
contacts_choose_a_contact	Choose a contact
contacts_clear_the_contact_and_type	Clear the contact and type a number instead
contacts_fill_in_a_contact_s	Fill in a contact\'s name
contacts_type_a_number	Type a number
macro_cancel	Cancel
macro_edit_macro	Edit macro
macro_name	Name
macro_save	Save
permissions_allow	Allow
permissions_back	Back
permissions_disable_battery_optimisation	Disable battery optimisation
permissions_not_now	Not now
permissions_ottomatic_itself	Ottomatic itself
permissions_permissions	Permissions
permissions_used_by_your_nodes	Used by your nodes
wifi_android_treats_the_name_of	Android treats the name of a network as a clue to where you are, so it will not name one without this. You can close this and type the network\'s name instead — the trigger still needs the permission to match it.
wifi_any_network	Any network
wifi_choose_a_network	Choose a network
wifi_choose_a_network_in_range	Choose a network in range
wifi_clear_the_network_so_this	Clear the network, so this matches any network
wifi_connected	Connected
wifi_grant	Grant
wifi_no_networks_found_wi_fi	No networks found. Wi-Fi and Location both have to be switched on to scan, and Android limits how often it will look. You can type a network\'s name instead.
wifi_ottomatic_needs_location_to_list	Ottomatic needs Location to list Wi-Fi networks
wifi_rescan	Rescan
widget_choose_a_trigger	Choose a trigger
widget_engine_status	Engine status
widget_last_run	Last run
widget_macro_not_found	Macro not found
widget_make_this_taller_to_see	Make this taller to see the triggers
widget_no_manual_triggers_yet_n	No manual triggers yet.\n\nOpen a macro and drop a Manual Trigger node onto the canvas — it will show up here.
widget_no_manual_triggers_yet_nadd	No manual triggers yet.\nAdd a Manual Trigger node to a macro.
widget_nothing_to_show_nlong_press	Nothing to show.\nLong-press to choose what this panel displays.
widget_ottomatic_panel	Ottomatic panel
widget_problems	Problems
widget_save	Save
widget_show_all_of_them	Show all of them
widget_trigger_buttons	Trigger buttons
api_allow	Allow
api_app_access	App access
api_back	Back
api_copy_the_key	Copy the key
api_it_will_be_able_to	It will be able to see the names of macros you have given a \"Called by Another App\" trigger, and to run them. It cannot see or change anything else in Ottomatic, and macros without that trigger stay out of reach.
api_no_key_approved_apps_only	No key — approved apps only
api_not_now	Not now
api_ottomatic_key	Ottomatic key
api_remove_the_key	Remove the key
api_revoke	Revoke
api_you_can_withdraw_this_at	You can withdraw this at any time under App access in Ottomatic.
variables_back	Back
variables_belongs_to	Belongs to
variables_choose_a_variable	Choose a variable
variables_chosen_once_a_variable_cannot	Chosen once — a variable cannot move between the two later, because the nodes pointing at it record which set it is in.
variables_constant	Constant
variables_delete_variable	Delete variable
variables_global	Global
variables_global_variables	Global variables
variables_its_value_is_fixed_here	Its value is fixed here. A node that tries to write it says so and carries on.
variables_new_variable	New variable
variables_save	Save
variables_this_workflow	This workflow
geofence_back	Back
geofence_centre_on_my_location	Centre on my location
geofence_choose_a_place	Choose a place
geofence_clear_search	Clear search
geofence_delete_place	Delete place
geofence_geofences	Geofences
geofence_home_work_gym	Home, Work, Gym…
geofence_name	Name
geofence_new_place	New place
geofence_no_places_yet_create_one	No places yet. Create one to point a geofence trigger at it — every trigger using it moves when you edit it.
geofence_radius	Radius
geofence_save	Save
geofence_search_an_address_or_place	Search an address or place
nfc_a_link_makes_the_tag	A link makes the tag open in a browser when tapped — and a macro watching this tag will stop running, because Android hands the tag to whichever app claims the link before Ottomatic ever sees it. Text does not do this.
nfc_already_in_your_library	Already in your library.
nfc_any_tag	Any tag
nfc_back	Back
nfc_choose_a_tag	Choose a tag
nfc_delete_tag	Delete tag
nfc_desk_car_dock_nightstand	Desk, Car dock, Nightstand…
nfc_hold_the_tag_to_the	Hold the tag to the back of your phone
nfc_hold_the_tag_to_the_2	Hold the tag to the back of your phone, and keep it still.
nfc_name	Name
nfc_nfc_is_switched_off	NFC is switched off
nfc_nfc_tags	NFC tags
nfc_no_tags_yet_scan_one	No tags yet. Scan one to point a trigger at it — a tag keeps the same id for life, so nothing has to be written to it.
nfc_open_settings	Open settings
nfc_save	Save
nfc_scan_a_new_tag	Scan a new tag
nfc_the_nfc_antenna_is_usually	The NFC antenna is usually near the top on the back.
nfc_this_phone_has_no_nfc	This phone has no NFC
nfc_this_tag_reports_a_different	This tag reports a different id every time it is tapped, so a macro could never recognise it. Bank cards, transit cards and phones pretending to be cards all do this. Use a plain NFC sticker instead.
nfc_write	Write
nfc_write_data_to_this_tag	Write data to this tag
nfc_write_to_tag	Write to tag
mail_add_an_account	Add an account
mail_back	Back
mail_choose_a_folder	Choose a folder
mail_choose_an_account	Choose an account
mail_delete_account	Delete account
mail_email_address	Email address
mail_inbox	INBOX
mail_incoming_imap	Incoming (IMAP)
mail_mail_accounts	Mail accounts
mail_name	Name
mail_no_accounts_yet_add_one	No accounts yet. Add one to send mail from a macro, or to start a macro when mail arrives. Most providers need an app password rather than your normal one — the form says where to make it.
mail_open_the_app_password_page	Open the app-password page
mail_outgoing_smtp	Outgoing (SMTP)
mail_port	Port
mail_provider	Provider
mail_save	Save
mail_security	Security
mail_servers	Servers
mail_test_connection	Test connection
mail_this_account_s_password_could	This account\'s password could not be read — most likely it came from a backup or another phone, which the key that sealed it does not. Type it again to fix it.
mail_this_provider_cannot_be_added	This provider cannot be added
mail_unchanged	Unchanged
mail_username_only_if_it_differs	Username (only if it differs from the address)
mail_work_personal_alarm_system	Work, Personal, Alarm system…
workflowlist_add_to_home_screen	Add to home screen
workflowlist_add_workflow	Add workflow
workflowlist_app_access	App access
workflowlist_can_t_add_it_from	Can\'t add it from here
workflowlist_cancel	Cancel
workflowlist_choose_a_macro	Choose a macro
workflowlist_delete	Delete
workflowlist_delete_workflow	Delete workflow
workflowlist_edit	Edit
workflowlist_geofences	Geofences
workflowlist_global_variables	Global variables
workflowlist_libraries	Libraries
workflowlist_mail_accounts	Mail accounts
workflowlist_more	More
workflowlist_nfc_tags	NFC tags
workflowlist_no_other_macros_yet	No other macros yet.
workflowlist_no_workflows_yet_ntap_to	No workflows yet.\nTap + to create one.
workflowlist_permissions	Permissions
workflowlist_plugins	Plugins
workflowlist_smart_home	Smart home
workflowlist_which_trigger	Which trigger?
workflowlist_workflows	Workflows
ai_add_connection	Add connection
ai_ai_connections	AI connections
ai_answer_briefly_and_in_plain	Answer briefly and in plain language.
ai_back	Back
ai_choose_a_connection	Choose a connection
ai_delete	Delete
ai_edit	Edit
ai_list_models	List models
ai_models	Models
ai_name	Name
ai_no_connections_yet_add_one	No connections yet. Add one to use the Ask AI node. It takes a free API key from Google AI Studio — the form walks you through getting one, and opens the page for you.
ai_paste_key	Paste key
ai_provider	Provider
ai_save	Save
ai_save_the_connection_first_then	Save the connection first, then Test to check the key works.
ai_sent_ahead_of_every_prompt	Sent ahead of every prompt through this connection. An Ask AI node\'s own standing instruction is added after it rather than replacing it.
ai_server_address	Server address
ai_standing_instruction_optional	Standing instruction (optional)
ai_test	Test
ai_the_key_is_stored_encrypted	The key is stored encrypted on this phone and is never shown again. %1$s Nothing is sent unless a macro reaches an Ask AI node.
ai_this_address_is_unencrypted_that	This address is unencrypted. That is normal for a server on your own network — do not use it for anything across the internet, because the key would be sent in the clear.
smarthome_a_bridge_on_your_wi	A bridge on your Wi-Fi
smarthome_add_a_hub	Add a hub
smarthome_back	Back
smarthome_connect	Connect
smarthome_done	Done
smarthome_it_is_the_large_button	It is the large button in the middle of the disc, between the three small lights. Connecting to %1$s.
smarthome_looking_for_bridges_on_your	Looking for bridges on your Wi-Fi…
smarthome_name	Name
smarthome_no_hubs_yet_add_one	No hubs yet. Add one to control your lights from a macro, and to start macros when something in your home changes.
smarthome_nothing_matches	Nothing matches \"%1$s\".
smarthome_only_trust_it_if_you	Only trust it if you reset or replaced your bridge. If you did not, something else on your network is answering as it.
smarthome_or_type_the_bridge_s	Or type the bridge\'s address
smarthome_paired_this_is_the_name	Paired. This is the name your macros will show.
smarthome_philips_hue	Philips Hue
smarthome_press_the_round_button_on	Press the round button on top of your bridge.
smarthome_refresh_lights_and_scenes	  Refresh lights and scenes
smarthome_remove_hub	Remove hub
smarthome_save	Save
smarthome_search	Search
smarthome_smart_home	Smart home
smarthome_this_address_is_presenting_a	This address is presenting a different certificate
smarthome_trust_new_certificate	Trust new certificate
smarthome_what_are_you_connecting_to	What are you connecting to?
grapheditor_add_node	Add node
grapheditor_any_tag	Any tag
grapheditor_back	Back
grapheditor_cancel	Cancel
grapheditor_clear_console	Clear console
grapheditor_clear_search	Clear search
grapheditor_clear_selection	Clear selection
grapheditor_close	Close
grapheditor_configure	Configure
grapheditor_configure_node	Configure node
grapheditor_delete	Delete
grapheditor_delete_selection	Delete selection
grapheditor_delete_workflow	Delete workflow
grapheditor_edit	Edit…
grapheditor_editor_surface	editor surface
grapheditor_enabled	Enabled
grapheditor_fit_to_screen	Fit to screen
grapheditor_grant	Grant
grapheditor_hh_mm	HH:mm
grapheditor_name	Name
grapheditor_next	Next
grapheditor_no_problems	No problems
grapheditor_nothing_selected_u2014_this_trigger	Nothing selected \u2014 this trigger falls back to firing on enter.
grapheditor_permission_needed	Permission needed
grapheditor_pick_a_date_and_time	Pick a date and time
grapheditor_pick_a_time	Pick a time
grapheditor_remove_port	Remove port
grapheditor_run_workflow	Run workflow
grapheditor_search_nodes	Search nodes
grapheditor_show_all	Show all
grapheditor_stop_workflow	Stop workflow
grapheditor_tap_to_add_your_first	Tap + to add your first node
grapheditor_this_node_needs_contacts_access	This node needs contacts access to look up the number you chose. Without it, it will do nothing when it runs.
grapheditor_this_workflow_is_ready_to	This workflow is ready to run.
grapheditor_type	Type
grapheditor_variables_are_unavailable_here	Variables are unavailable here.
grapheditor_workflow_actions	Workflow actions
grapheditor_your_canvas_is_empty	Your canvas is empty
grapheditor_zoom_in	Zoom in
grapheditor_zoom_out	Zoom out
ai_add_ai_connection	Add AI connection
ai_api_key	API key
ai_api_key_paste_it_in	API key — paste it in again
ai_edit_connection	Edit connection
ai_key_needs_pasting_in_again	Key needs pasting in again
ai_leave_these_empty_to_use	Leave these empty to use the provider\'s own models. Fill one in when a model is retired, or to pin a particular one.
ai_name_the_model_your_server	Name the model your server or account serves. If you only fill in Fast, the other two use it as well.
ai_new_api_key_leave_empty	New API key (leave empty to keep the current one)
ai_provider_s_default	provider\'s default
api_no_macro_can_currently_be	No macro can currently be called from outside.
api_no_other_app_can_run	No other app can run your macros. When one asks, you will be shown what it is and can decide then — approvals appear here so you can withdraw them.
api_these_apps_can_see_and	These apps can see and run the macros you have given a \"Called by Another App\" trigger. They cannot see or change anything else in Ottomatic, and an app is only listed here because you allowed it when it asked.
apps_other_apps	Other apps
geofence_edit_place	Edit place
geofence_new_place_2	New place
grapheditor_add_node_2	Add node
grapheditor_no_nodes_can_connect_here	No nodes can connect here
grapheditor_no_nodes_match_your_search	No nodes match your search
grapheditor_no_place_selected	No place selected
grapheditor_place_missing	Place missing
grapheditor_variables	Variables
hue_find_your_bridge	Find your bridge
hue_hue_bridge	Hue Bridge
hue_name_your_bridge	Name your bridge
hue_press_the_link_button	Press the link button
hue_text	 · 
macro_colour	Colour
macro_icon	Icon
mail_password_needed	Password needed
nfc_ottomatic_cannot_switch_it_on	Ottomatic cannot switch it on for you — Android only allows that from its own settings.
nfc_rename_tag	Rename tag
nfc_scan_a_tag	Scan a tag
nfc_there_is_nothing_to_scan	There is nothing to scan with. A tag trigger will never fire here.
permissions_ottomatic_couldn_t_resume_your	Ottomatic couldn\'t resume your macros in the background after the last reboot. To keep automation running without intervention, allow Ottomatic to run without battery restrictions. You can change this later under Permissions.
plugins_a_plugin_adds_trigger_and	A plugin adds trigger and action nodes to your palette. It is a separate app: it runs its own code, in its own process, using only the permissions it asks you for itself. Ottomatic does not share its permissions with it.
plugins_no_plugins_are_installed_a	No plugins are installed. A plugin is a separate app that adds trigger and action nodes to your palette; install one and it will appear here.
plugins_provides_no_nodes	Provides no nodes
smarthome_address	Address
smarthome_bridge_id	Bridge id
smarthome_hub	Hub
smarthome_lights	Lights
smarthome_pair_again	Pair again
smarthome_presented	Presented
smarthome_refresh	Refresh
smarthome_rooms_and_zones	Rooms and zones
smarthome_scenes	Scenes
smarthome_trusted	Trusted
sound_default_ringtone	default ringtone
variables_holds	Holds
variables_name	Name
variables_note_optional	Note (optional)
variables_starts_at	Starts at
variables_value	Value
widget_a_count_of_macros_that	A count of macros that cannot run — hidden when there are none
widget_a_grid_of_manual_triggers	A grid of manual triggers you can tap to run
widget_new_macros_appear_on_the	New macros appear on the panel automatically
widget_show	Show
widget_whether_the_engine_is_running	Whether the engine is running, and how many macros are armed
widget_which_macro_ran_last_whether	Which macro ran last, whether it worked, and when
widget_which_triggers	Which triggers
workflowlist_text	 · 
workflowlist_this_macro	this macro
grapheditor_nothing_selected	Nothing selected
grapheditor_selection_mixed	%1$s, %2$s
widget_engine_running	Engine running
widget_engine_stopped	Engine stopped
widget_armed_of_total	%1$d of %2$d armed
widget_state_running	Running…
widget_state_done	Done
widget_state_failed	Failed
widget_state_ready	Ready
widget_state_off	Off
widget_outcome_running	running
widget_outcome_ok	ok
widget_outcome_failed	failed
widget_last_run_line	%1$s · %2$s · %3$s
widget_ago_just_now	just now
widget_ago_minutes	%1$dm ago
widget_ago_hours	%1$dh ago
widget_ago_days	%1$dd ago
widget_ago_a_while	a while ago
nfc_written	Written.
nfc_could_not_write	Could not write to this tag.
smarthome_up_to_date	Up to date
smarthome_trusted_works_again	Trusted. The hub should work again.
smarthome_button_not_pressed	The button wasn\'t pressed in time — try again
workflowlist_new_workflow	New Workflow
mail_account_deleted	That account has been deleted
mail_account_needs_password	This account needs its password typed in again
mail_signed_in	Signed in. Sending and receiving both work.
kind_trigger	Trigger
kind_action	Action
kind_value	Value
kind_transform	Transform
kind_triggers	Triggers
kind_actions	Actions
kind_values	Values
kind_transforms	Transforms
console_nothing_at_level	Nothing at this level
console_nothing_logged	Nothing logged yet
console_widen_filter	Widen the filter to see the rest of this workflow\'s history.
console_run_the_workflow	Run the workflow. Errors, action.log messages and a script\'s console.log appear here.
console_filter_all	All
console_filter_info	Info
console_filter_problems	Problems
editor_tab_problems	Problems
editor_tab_console	Console
editor_tab_variables	Variables
editor_back_to_graph	Back to the graph
editor_back_to_variables	Back to this workflow\'s variables
permissions_node_section_blurb	These come from the triggers and actions you have placed. Without one, the node does nothing and says nothing.
permissions_app_section_blurb	Used by the app rather than by any one node.
permissions_granted	Granted
permissions_not_granted	Not granted
permissions_revoke	Revoke
permissions_grant	Grant
permissions_background_location_hint	Android asks for this on its own screen — choose "Allow all the time".
smarthome_choose_a_scene	Choose a scene
smarthome_choose_a_light	Choose a light
smarthome_no_hub_yet	No hub yet. Add one to control your lights from a macro.
smarthome_nothing_read	Nothing has been read from this hub yet. Check it is switched on and try again.
smarthome_rooms	Rooms
smarthome_zones	Zones
smarthome_white_only	White only
smarthome_everything_in_it	Everything in it
mail_add_account	Add account
mail_edit_account	Edit account
mail_app_password	App password
mail_app_password_keep	App password (leave blank to keep)
mail_security_none	None (not recommended)
mail_security_starttls	STARTTLS
mail_security_tls	TLS / SSL
workflowlist_launcher_cannot_place	This launcher doesn\'t let an app place a widget for you. Add the Run tile yourself from your home screen\'s widget list — it will ask which trigger it is for.
workflowlist_delete_confirm	Delete "%1$s"? This cannot be undone.
workflowlist_armed	Armed
workflowlist_off	Off
workflowlist_armed_with_problems	Armed · %1$s
grapheditor_consequence_never_fires	will never fire
grapheditor_consequence_reads_nothing	will read as nothing
grapheditor_consequence_fails	will fail every time it runs
grapheditor_permission_joiner	 and 
grapheditor_node_needs_permissions	This node %1$s until you grant %2$s.
problems_path_arrow	 → 
problems_skipped_nodes	skipped: %1$s
problems_wire_skipped	this wire is skipped
problems_where_separator	  ·  
variables_edit_named	Edit %1$s
variables_empty	empty
variables_constant_is	constant · %1$s
variables_equals	= %1$s
variables_starts_at_value	starts at %1$s
variables_unset	unset
variables_subtitle	%1$s · %2$s
geofence_edit_named	Edit %1$s
geofence_coordinates	%1$.4f, %2$.4f
geofence_place_subtitle	%1$s · %2$s
geofence_radius_km	%1$.1f km
geofence_radius_m	%1$d m
config_now	Now
config_set	Set
config_add_row	Add %1$s
config_port_carries_list	This port carries a list
config_port_carries_one	This port carries one value
config_hub_removed	%1$s · hub removed
config_deleted_account	Deleted account
config_deleted_connection	Deleted connection
config_global_variable	Global · %1$s
config_none_selected	None selected
variables_edit_variable	Edit variable
variables_every_workflow	Every workflow
variables_empty_local	Nothing yet. A variable here belongs to this macro alone.
variables_empty_global	Nothing yet. A variable here is shared by every macro.
nfc_kind_text	Text
nfc_kind_link	Link
nfc_rename_named	Rename %1$s
mail_edit_named	Edit %1$s
grapheditor_has_error	Has an error
grapheditor_has_warning	Has a warning
grapheditor_cannot_connect_kinds	Cannot connect exec port to data port
smarthome_settings_for	Settings for %1$s
smarthome_hub_subtitle	%1$s · %2$d lights · %3$d scenes
config_socket_use_typed_connected	Use the typed value for %1$s (connected to %2$s)
config_socket_use_typed_free	Use the typed value for %1$s (nothing connected)
config_socket_feed	Feed %1$s from upstream data
grapheditor_delete_confirm	Delete "%1$s"? Its run log goes with it. This cannot be undone.
grapheditor_zoom_percent	%1$d%%
grapheditor_connect_from	Connect from %1$s
nfc_tag_says	This tag says: %1$s
plugins_node_rejected	%1$s was not added: %2$s
widget_more_hidden	+%1$d more — resize to see
widget_showing_all	Showing all %1$d triggers. Turn the switch off to pick which ones.
